ticket_id,summary,description,status,assignee,created_at,category,priority
TKT-0001,Unable to access intranet,User reports they cannot access the internal bank portal.,Open,Conor,2025-04-09T21:04:18.039679,Access Management,High
TKT-0002,New employee onboarding setup,New employee joining on Monday requires system setup.,Open,Vivek,2025-04-09T21:04:18.041678,User Support,Low
TKT-0003,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Open,Vivek,2025-04-09T21:04:18.042686,Email,Medium
TKT-0004,Laptop overheating frequently,Laptop CPU temperatures exceed 90°C while idle.,Open,Conor,2025-04-09T21:04:18.043691,System Performance,Medium
TKT-0005,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Open,Charlie,2025-04-09T21:04:18.044678,Email,Medium
TKT-0006,New employee onboarding setup,New employee joining on Monday requires system setup.,Open,Bob,2025-04-09T21:04:18.047081,User Support,Low
TKT-0007,Outlook not syncing emails,Emails are not syncing across desktop and mobile devices.,Open,Vivek,2025-04-09T21:04:18.047081,Email,Medium
TKT-0008,Install antivirus software,Antivirus software missing on workstation.,Open,Conor,2025-04-09T21:04:18.049591,Software,Medium
TKT-0009,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Open,Bob,2025-04-09T21:04:18.050604,Security,Critical
TKT-0010,File recovery request,Need help recovering accidentally deleted financial files.,Open,Charlie,2025-04-09T21:04:18.052589,User Support,Low
TKT-0011,System slowness during login,Multiple users report slow login times in the morning.,Open,Charlie,2025-04-09T21:04:18.054591,Security,Critical
TKT-0012,Missing email from inbox,User cannot locate important client email in inbox.,Open,Diana,2025-04-09T21:04:18.055745,Email,Medium
TKT-0013,New employee onboarding setup,New employee joining on Monday requires system setup.,Open,Vivek,2025-04-09T21:04:18.056757,User Support,Low
TKT-0014,Unable to access intranet,User reports they cannot access the internal bank portal.,Open,Paul,2025-04-09T21:04:18.058754,Access Management,High
TKT-0015,Blue screen error on startup,User encounters BSOD during startup with error 0x0000007B.,Open,Conor,2025-04-09T21:04:18.060744,Software Issue,Critical
TKT-0016,Cannot connect to shared drive,Shared drive not visible under network locations.,Open,Alice,2025-04-09T21:04:18.062763,Network Issue,High
TKT-0017,Unable to access intranet,User reports they cannot access the internal bank portal.,Open,Eric,2025-04-09T21:04:18.063761,Access Management,High
TKT-0018,Request for admin privileges,User requests temporary admin access to install software.,Open,Vivek,2025-04-09T21:04:18.065273,Software,Medium
TKT-0019,Account locked after failed attempts,User account locked due to multiple failed login attempts.,Open,Diana,2025-04-09T21:04:18.067271,Security,Critical
